# Time	Count
5.622112211221121925e+01	2.600000000000000000e+01
8.866336633663365774e+01	1.100000000000000000e+01
1.211056105610561247e+02	7.000000000000000000e+00
1.535478547854785631e+02	1.100000000000000000e+01
1.859900990099010016e+02	1.100000000000000000e+01
2.184323432343234686e+02	8.000000000000000000e+00
2.508745874587459070e+02	1.000000000000000000e+01
2.833168316831683455e+02	7.000000000000000000e+00
3.157590759075907840e+02	1.400000000000000000e+01
3.482013201320132225e+02	6.000000000000000000e+00
3.806435643564356610e+02	6.000000000000000000e+00
4.130858085808581563e+02	5.000000000000000000e+00
4.455280528052805948e+02	6.000000000000000000e+00
4.779702970297030333e+02	1.000000000000000000e+00
5.104125412541254718e+02	8.000000000000000000e+00
5.428547854785479103e+02	4.000000000000000000e+00
5.752970297029703488e+02	6.000000000000000000e+00
6.077392739273927873e+02	6.000000000000000000e+00
6.401815181518152258e+02	2.000000000000000000e+00
6.726237623762376643e+02	4.000000000000000000e+00
7.050660066006601028e+02	9.000000000000000000e+00
7.375082508250825413e+02	5.000000000000000000e+00
7.699504950495049798e+02	5.000000000000000000e+00
8.023927392739274183e+02	5.000000000000000000e+00
8.348349834983499704e+02	9.000000000000000000e+00
8.672772277227724089e+02	4.000000000000000000e+00
8.997194719471948474e+02	2.000000000000000000e+00
9.321617161716172859e+02	5.000000000000000000e+00
9.646039603960397244e+02	1.200000000000000000e+01
9.970462046204621629e+02	3.000000000000000000e+00
1.029488448844884715e+03	7.000000000000000000e+00
1.061930693069306926e+03	5.000000000000000000e+00
1.094372937293729592e+03	5.000000000000000000e+00
1.126815181518151803e+03	2.000000000000000000e+00
1.159257425742574469e+03	8.000000000000000000e+00
1.191699669966996680e+03	5.000000000000000000e+00
1.224141914191419346e+03	1.200000000000000000e+01
1.256584158415841557e+03	4.000000000000000000e+00
1.289026402640264223e+03	6.000000000000000000e+00
1.321468646864686434e+03	4.000000000000000000e+00
1.353910891089109100e+03	8.000000000000000000e+00
1.386353135313531311e+03	9.000000000000000000e+00
1.418795379537953977e+03	1.000000000000000000e+00
1.451237623762376188e+03	5.000000000000000000e+00
1.483679867986798854e+03	4.000000000000000000e+00
1.516122112211221065e+03	2.000000000000000000e+00
1.548564356435643731e+03	6.000000000000000000e+00
1.581006600660066169e+03	3.000000000000000000e+00
1.613448844884488608e+03	6.000000000000000000e+00
1.645891089108911274e+03	2.000000000000000000e+00
1.678333333333333485e+03	2.000000000000000000e+00
1.710775577557756151e+03	3.000000000000000000e+00
1.743217821782178362e+03	3.000000000000000000e+00
1.775660066006601028e+03	2.000000000000000000e+00
1.808102310231023239e+03	2.000000000000000000e+00
1.840544554455445905e+03	3.000000000000000000e+00
1.872986798679868116e+03	5.000000000000000000e+00
1.905429042904290782e+03	3.000000000000000000e+00
1.937871287128712993e+03	0.000000000000000000e+00
1.970313531353135659e+03	3.000000000000000000e+00
2.002755775577557870e+03	3.000000000000000000e+00
2.035198019801980536e+03	5.000000000000000000e+00
2.067640264026402747e+03	3.000000000000000000e+00
2.100082508250825413e+03	5.000000000000000000e+00
2.132524752475247624e+03	5.000000000000000000e+00
2.164966996699670290e+03	7.000000000000000000e+00
2.197409240924092956e+03	1.000000000000000000e+00
2.229851485148515167e+03	3.000000000000000000e+00
2.262293729372937378e+03	0.000000000000000000e+00
2.294735973597360044e+03	1.000000000000000000e+00
2.327178217821782710e+03	4.000000000000000000e+00
2.359620462046204921e+03	2.000000000000000000e+00
2.392062706270627132e+03	5.000000000000000000e+00
2.424504950495049798e+03	3.000000000000000000e+00
2.456947194719472463e+03	1.000000000000000000e+00
2.489389438943894675e+03	3.000000000000000000e+00
2.521831683168316886e+03	2.000000000000000000e+00
2.554273927392739552e+03	2.000000000000000000e+00
2.586716171617162217e+03	1.000000000000000000e+00
2.619158415841584429e+03	0.000000000000000000e+00
2.651600660066006640e+03	2.000000000000000000e+00
2.684042904290429306e+03	3.000000000000000000e+00
2.716485148514851971e+03	1.000000000000000000e+00
2.748927392739274183e+03	4.000000000000000000e+00
2.781369636963696394e+03	3.000000000000000000e+00
2.813811881188119060e+03	0.000000000000000000e+00
2.846254125412541725e+03	3.000000000000000000e+00
2.878696369636963937e+03	1.000000000000000000e+00
2.911138613861386148e+03	0.000000000000000000e+00
2.943580858085808813e+03	5.000000000000000000e+00
2.976023102310231479e+03	1.000000000000000000e+00
3.008465346534653690e+03	2.000000000000000000e+00
3.040907590759075902e+03	2.000000000000000000e+00
3.073349834983498567e+03	6.000000000000000000e+00
3.105792079207921233e+03	0.000000000000000000e+00
3.138234323432343444e+03	1.000000000000000000e+00
3.170676567656766110e+03	5.000000000000000000e+00
3.203118811881188776e+03	1.000000000000000000e+00
3.235561056105610987e+03	5.000000000000000000e+00
3.268003300330033198e+03	4.000000000000000000e+00
3.300445544554455864e+03	1.000000000000000000e+00
3.332887788778878530e+03	3.000000000000000000e+00
3.365330033003300741e+03	4.000000000000000000e+00
3.397772277227722952e+03	1.000000000000000000e+00
3.430214521452145618e+03	2.000000000000000000e+00
3.462656765676568284e+03	2.000000000000000000e+00
3.495099009900990495e+03	2.000000000000000000e+00
3.527541254125412706e+03	1.000000000000000000e+00
3.559983498349835372e+03	1.000000000000000000e+00
3.592425742574258038e+03	3.000000000000000000e+00
3.624867986798680249e+03	0.000000000000000000e+00
3.657310231023102460e+03	1.000000000000000000e+00
3.689752475247525126e+03	1.000000000000000000e+00
3.722194719471947792e+03	1.000000000000000000e+00
3.754636963696370003e+03	7.000000000000000000e+00
3.787079207920792214e+03	2.000000000000000000e+00
3.819521452145214880e+03	1.000000000000000000e+00
3.851963696369637546e+03	1.000000000000000000e+00
3.884405940594059757e+03	1.000000000000000000e+00
3.916848184818481968e+03	1.000000000000000000e+00
3.949290429042904634e+03	2.000000000000000000e+00
3.981732673267327300e+03	1.000000000000000000e+00
4.014174917491749511e+03	3.000000000000000000e+00
4.046617161716171722e+03	1.000000000000000000e+00
4.079059405940594388e+03	0.000000000000000000e+00
4.111501650165017054e+03	1.000000000000000000e+00
4.143943894389439265e+03	1.000000000000000000e+00
4.176386138613861476e+03	1.000000000000000000e+00
4.208828382838284597e+03	3.000000000000000000e+00
4.241270627062706808e+03	2.000000000000000000e+00
4.273712871287129019e+03	1.000000000000000000e+00
4.306155115511552140e+03	1.000000000000000000e+00
4.338597359735973441e+03	1.000000000000000000e+00
4.371039603960396562e+03	2.000000000000000000e+00
4.403481848184819683e+03	1.000000000000000000e+00
4.435924092409240984e+03	2.000000000000000000e+00
4.468366336633664105e+03	1.000000000000000000e+00
4.500808580858086316e+03	1.000000000000000000e+00
4.533250825082508527e+03	1.000000000000000000e+00
4.565693069306931648e+03	1.000000000000000000e+00
4.598135313531352949e+03	2.000000000000000000e+00
4.630577557755776070e+03	3.000000000000000000e+00
4.663019801980199190e+03	1.000000000000000000e+00
4.695462046204620492e+03	0.000000000000000000e+00
4.727904290429043613e+03	1.000000000000000000e+00
4.760346534653465824e+03	1.000000000000000000e+00
4.792788778877888035e+03	3.000000000000000000e+00
4.825231023102311156e+03	3.000000000000000000e+00
4.857673267326732457e+03	1.000000000000000000e+00
4.890115511551155578e+03	0.000000000000000000e+00
4.922557755775578698e+03	0.000000000000000000e+00
4.955000000000000000e+03	0.000000000000000000e+00
4.987442244224423121e+03	2.000000000000000000e+00
5.019884488448845332e+03	0.000000000000000000e+00
5.052326732673267543e+03	0.000000000000000000e+00
5.084768976897690663e+03	0.000000000000000000e+00
5.117211221122111965e+03	0.000000000000000000e+00
5.149653465346535086e+03	0.000000000000000000e+00
5.182095709570958206e+03	0.000000000000000000e+00
5.214537953795379508e+03	1.000000000000000000e+00
5.246980198019802629e+03	0.000000000000000000e+00
5.279422442244225749e+03	0.000000000000000000e+00
5.311864686468647051e+03	1.000000000000000000e+00
5.344306930693070171e+03	1.000000000000000000e+00
5.376749174917492383e+03	0.000000000000000000e+00
5.409191419141914594e+03	0.000000000000000000e+00
5.441633663366337714e+03	0.000000000000000000e+00
5.474075907590759016e+03	2.000000000000000000e+00
5.506518151815182136e+03	2.000000000000000000e+00
5.538960396039605257e+03	1.000000000000000000e+00
5.571402640264026559e+03	1.000000000000000000e+00
5.603844884488449679e+03	0.000000000000000000e+00
5.636287128712871890e+03	0.000000000000000000e+00
5.668729372937294102e+03	1.000000000000000000e+00
5.701171617161717222e+03	0.000000000000000000e+00
5.733613861386138524e+03	1.000000000000000000e+00
5.766056105610561644e+03	0.000000000000000000e+00
5.798498349834984765e+03	0.000000000000000000e+00
5.830940594059406067e+03	1.000000000000000000e+00
5.863382838283829187e+03	0.000000000000000000e+00
5.895825082508251398e+03	0.000000000000000000e+00
5.928267326732673610e+03	1.000000000000000000e+00
5.960709570957096730e+03	1.000000000000000000e+00
5.993151815181518032e+03	0.000000000000000000e+00
6.025594059405941152e+03	0.000000000000000000e+00
6.058036303630364273e+03	2.000000000000000000e+00
6.090478547854785575e+03	0.000000000000000000e+00
6.122920792079208695e+03	0.000000000000000000e+00
6.155363036303630906e+03	2.000000000000000000e+00
6.187805280528053117e+03	2.000000000000000000e+00
6.220247524752476238e+03	0.000000000000000000e+00
6.252689768976898449e+03	0.000000000000000000e+00
6.285132013201320660e+03	0.000000000000000000e+00
6.317574257425743781e+03	1.000000000000000000e+00
6.350016501650165083e+03	0.000000000000000000e+00
6.382458745874588203e+03	0.000000000000000000e+00
6.414900990099011324e+03	0.000000000000000000e+00
6.447343234323432625e+03	0.000000000000000000e+00
6.479785478547855746e+03	1.000000000000000000e+00
6.512227722772277957e+03	0.000000000000000000e+00
6.544669966996700168e+03	0.000000000000000000e+00
6.577112211221123289e+03	1.000000000000000000e+00
6.609554455445544590e+03	0.000000000000000000e+00
6.641996699669967711e+03	0.000000000000000000e+00
6.674438943894390832e+03	1.000000000000000000e+00
6.706881188118812133e+03	0.000000000000000000e+00
6.739323432343235254e+03	0.000000000000000000e+00
6.771765676567657465e+03	0.000000000000000000e+00
6.804207920792079676e+03	0.000000000000000000e+00
6.836650165016502797e+03	0.000000000000000000e+00
6.869092409240924098e+03	2.000000000000000000e+00
6.901534653465347219e+03	0.000000000000000000e+00
6.933976897689770340e+03	0.000000000000000000e+00
6.966419141914191641e+03	0.000000000000000000e+00
6.998861386138614762e+03	0.000000000000000000e+00
7.031303630363036973e+03	0.000000000000000000e+00
7.063745874587459184e+03	0.000000000000000000e+00
7.096188118811882305e+03	0.000000000000000000e+00
7.128630363036303606e+03	1.000000000000000000e+00
7.161072607260726727e+03	0.000000000000000000e+00
7.193514851485149848e+03	0.000000000000000000e+00
7.225957095709571149e+03	0.000000000000000000e+00
7.258399339933994270e+03	1.000000000000000000e+00
7.290841584158416481e+03	2.000000000000000000e+00
7.323283828382838692e+03	0.000000000000000000e+00
7.355726072607261813e+03	0.000000000000000000e+00
7.388168316831684024e+03	1.000000000000000000e+00
7.420610561056106235e+03	0.000000000000000000e+00
7.453052805280529356e+03	0.000000000000000000e+00
7.485495049504950657e+03	0.000000000000000000e+00
7.517937293729373778e+03	0.000000000000000000e+00
7.550379537953796898e+03	0.000000000000000000e+00
7.582821782178218200e+03	2.000000000000000000e+00
7.615264026402641321e+03	0.000000000000000000e+00
7.647706270627063532e+03	0.000000000000000000e+00
7.680148514851485743e+03	0.000000000000000000e+00
7.712590759075908863e+03	0.000000000000000000e+00
7.745033003300330165e+03	0.000000000000000000e+00
7.777475247524753286e+03	0.000000000000000000e+00
7.809917491749176406e+03	0.000000000000000000e+00
7.842359735973597708e+03	0.000000000000000000e+00
7.874801980198020829e+03	0.000000000000000000e+00
7.907244224422443040e+03	0.000000000000000000e+00
7.939686468646865251e+03	0.000000000000000000e+00
7.972128712871288371e+03	0.000000000000000000e+00
8.004570957095709673e+03	0.000000000000000000e+00
8.037013201320132794e+03	0.000000000000000000e+00
8.069455445544555914e+03	0.000000000000000000e+00
8.101897689768977216e+03	0.000000000000000000e+00
8.134339933993400336e+03	0.000000000000000000e+00
8.166782178217822548e+03	1.000000000000000000e+00
8.199224422442244759e+03	0.000000000000000000e+00
8.231666666666667879e+03	0.000000000000000000e+00
8.264108910891089181e+03	1.000000000000000000e+00
8.296551155115512302e+03	0.000000000000000000e+00
8.328993399339935422e+03	0.000000000000000000e+00
8.361435643564356724e+03	0.000000000000000000e+00
8.393877887788779844e+03	0.000000000000000000e+00
8.426320132013202965e+03	0.000000000000000000e+00
8.458762376237624267e+03	0.000000000000000000e+00
8.491204620462047387e+03	0.000000000000000000e+00
8.523646864686470508e+03	0.000000000000000000e+00
8.556089108910891810e+03	0.000000000000000000e+00
8.588531353135313111e+03	1.000000000000000000e+00
8.620973597359738051e+03	0.000000000000000000e+00
8.653415841584159352e+03	0.000000000000000000e+00
8.685858085808580654e+03	1.000000000000000000e+00
8.718300330033005594e+03	0.000000000000000000e+00
8.750742574257426895e+03	0.000000000000000000e+00
8.783184818481848197e+03	0.000000000000000000e+00
8.815627062706271317e+03	0.000000000000000000e+00
8.848069306930694438e+03	0.000000000000000000e+00
8.880511551155115740e+03	0.000000000000000000e+00
8.912953795379538860e+03	0.000000000000000000e+00
8.945396039603961981e+03	0.000000000000000000e+00
8.977838283828383283e+03	0.000000000000000000e+00
9.010280528052806403e+03	0.000000000000000000e+00
9.042722772277229524e+03	0.000000000000000000e+00
9.075165016501650825e+03	1.000000000000000000e+00
9.107607260726072127e+03	0.000000000000000000e+00
9.140049504950497067e+03	1.000000000000000000e+00
9.172491749174918368e+03	0.000000000000000000e+00
9.204933993399339670e+03	1.000000000000000000e+00
9.237376237623764609e+03	0.000000000000000000e+00
9.269818481848185911e+03	0.000000000000000000e+00
9.302260726072607213e+03	0.000000000000000000e+00
9.334702970297030333e+03	0.000000000000000000e+00
9.367145214521453454e+03	0.000000000000000000e+00
9.399587458745874756e+03	1.000000000000000000e+00
9.432029702970297876e+03	0.000000000000000000e+00
9.464471947194720997e+03	0.000000000000000000e+00
9.496914191419142298e+03	0.000000000000000000e+00
9.529356435643565419e+03	0.000000000000000000e+00
9.561798679867988540e+03	1.000000000000000000e+00
9.594240924092409841e+03	0.000000000000000000e+00
9.626683168316832962e+03	0.000000000000000000e+00
9.659125412541256082e+03	0.000000000000000000e+00
9.691567656765677384e+03	1.000000000000000000e+00
9.724009900990098686e+03	0.000000000000000000e+00
9.756452145214523625e+03	0.000000000000000000e+00
9.788894389438944927e+03	0.000000000000000000e+00
9.821336633663366229e+03	0.000000000000000000e+00
9.853778877887791168e+03	0.000000000000000000e+00
9.886221122112212470e+03	0.000000000000000000e+00
9.918663366336633771e+03	1.000000000000000000e+00
9.951105610561056892e+03	0.000000000000000000e+00
9.983547854785480013e+03	0.000000000000000000e+00
1.001599009900990131e+04	0.000000000000000000e+00
1.004843234323432443e+04	1.000000000000000000e+00
1.008087458745874756e+04	0.000000000000000000e+00
1.011331683168316886e+04	0.000000000000000000e+00
1.014575907590759198e+04	0.000000000000000000e+00
1.017820132013201510e+04	0.000000000000000000e+00
1.021064356435643640e+04	0.000000000000000000e+00
1.024308580858085770e+04	0.000000000000000000e+00
1.027552805280528264e+04	0.000000000000000000e+00
1.030797029702970394e+04	0.000000000000000000e+00
1.034041254125412524e+04	0.000000000000000000e+00
1.037285478547855018e+04	0.000000000000000000e+00
1.040529702970297149e+04	0.000000000000000000e+00
1.043773927392739279e+04	1.000000000000000000e+00
1.047018151815181773e+04	0.000000000000000000e+00
1.050262376237623903e+04	0.000000000000000000e+00
1.053506600660066033e+04	0.000000000000000000e+00
1.056750825082508345e+04	0.000000000000000000e+00
1.059995049504950657e+04	0.000000000000000000e+00
1.063239273927392787e+04	1.000000000000000000e+00
1.066483498349835099e+04	0.000000000000000000e+00
1.069727722772277411e+04	0.000000000000000000e+00
1.072971947194719542e+04	0.000000000000000000e+00
1.076216171617161854e+04	0.000000000000000000e+00
1.079460396039604166e+04	1.000000000000000000e+00
1.082704620462046296e+04	0.000000000000000000e+00
1.085948844884488426e+04	0.000000000000000000e+00
1.089193069306930920e+04	0.000000000000000000e+00
1.092437293729373050e+04	0.000000000000000000e+00
1.095681518151815180e+04	0.000000000000000000e+00
1.098925742574257674e+04	1.000000000000000000e+00
1.102169966996699804e+04	0.000000000000000000e+00
1.105414191419141935e+04	0.000000000000000000e+00
1.108658415841584247e+04	0.000000000000000000e+00
1.111902640264026559e+04	0.000000000000000000e+00
1.115146864686468689e+04	0.000000000000000000e+00
1.118391089108911001e+04	0.000000000000000000e+00
1.121635313531353313e+04	0.000000000000000000e+00
1.124879537953795443e+04	0.000000000000000000e+00
1.128123762376237755e+04	0.000000000000000000e+00
1.131367986798680067e+04	0.000000000000000000e+00
1.134612211221122197e+04	1.000000000000000000e+00
1.137856435643564328e+04	0.000000000000000000e+00
1.141100660066006822e+04	1.000000000000000000e+00
1.144344884488448952e+04	0.000000000000000000e+00
1.147589108910891082e+04	0.000000000000000000e+00
1.150833333333333576e+04	0.000000000000000000e+00
1.154077557755775706e+04	0.000000000000000000e+00
1.157321782178217836e+04	0.000000000000000000e+00
1.160566006600660330e+04	0.000000000000000000e+00
1.163810231023102460e+04	0.000000000000000000e+00
1.167054455445544590e+04	0.000000000000000000e+00
1.170298679867986903e+04	0.000000000000000000e+00
1.173542904290429215e+04	0.000000000000000000e+00
1.176787128712871345e+04	0.000000000000000000e+00
1.180031353135313657e+04	0.000000000000000000e+00
1.183275577557755969e+04	0.000000000000000000e+00
1.186519801980198099e+04	0.000000000000000000e+00
1.189764026402640411e+04	0.000000000000000000e+00
1.193008250825082723e+04	0.000000000000000000e+00
1.196252475247524853e+04	0.000000000000000000e+00
1.199496699669966983e+04	1.000000000000000000e+00
1.202740924092409477e+04	0.000000000000000000e+00
1.205985148514851608e+04	0.000000000000000000e+00
1.209229372937293738e+04	0.000000000000000000e+00
1.212473597359736232e+04	0.000000000000000000e+00
1.215717821782178362e+04	0.000000000000000000e+00
1.218962046204620492e+04	0.000000000000000000e+00
1.222206270627062804e+04	0.000000000000000000e+00
1.225450495049505116e+04	0.000000000000000000e+00
1.228694719471947246e+04	1.000000000000000000e+00
1.231938943894389558e+04	0.000000000000000000e+00
1.235183168316831870e+04	0.000000000000000000e+00
1.238427392739274001e+04	0.000000000000000000e+00
1.241671617161716313e+04	0.000000000000000000e+00
1.244915841584158625e+04	0.000000000000000000e+00
1.248160066006600755e+04	0.000000000000000000e+00
1.251404290429043067e+04	0.000000000000000000e+00
1.254648514851485379e+04	0.000000000000000000e+00
1.257892739273927509e+04	0.000000000000000000e+00
1.261136963696369639e+04	0.000000000000000000e+00
1.264381188118812133e+04	0.000000000000000000e+00
1.267625412541254263e+04	0.000000000000000000e+00
1.270869636963696394e+04	0.000000000000000000e+00
1.274113861386138888e+04	0.000000000000000000e+00
1.277358085808581018e+04	0.000000000000000000e+00
1.280602310231023148e+04	0.000000000000000000e+00
1.283846534653465460e+04	0.000000000000000000e+00
1.287090759075907772e+04	0.000000000000000000e+00
1.290334983498349902e+04	0.000000000000000000e+00
1.293579207920792214e+04	0.000000000000000000e+00
1.296823432343234526e+04	0.000000000000000000e+00
1.300067656765676657e+04	0.000000000000000000e+00
1.303311881188118969e+04	0.000000000000000000e+00
1.306556105610561281e+04	0.000000000000000000e+00
1.309800330033003411e+04	0.000000000000000000e+00
1.313044554455445541e+04	0.000000000000000000e+00
1.316288778877888035e+04	0.000000000000000000e+00
1.319533003300330165e+04	0.000000000000000000e+00
1.322777227722772295e+04	0.000000000000000000e+00
1.326021452145214789e+04	0.000000000000000000e+00
1.329265676567656919e+04	0.000000000000000000e+00
1.332509900990099050e+04	0.000000000000000000e+00
1.335754125412541362e+04	0.000000000000000000e+00
1.338998349834983674e+04	0.000000000000000000e+00
1.342242574257425804e+04	0.000000000000000000e+00
1.345486798679868116e+04	0.000000000000000000e+00
1.348731023102310428e+04	0.000000000000000000e+00
1.351975247524752558e+04	0.000000000000000000e+00
1.355219471947194870e+04	0.000000000000000000e+00
1.358463696369637182e+04	0.000000000000000000e+00
1.361707920792079312e+04	0.000000000000000000e+00
1.364952145214521624e+04	0.000000000000000000e+00
1.368196369636963937e+04	0.000000000000000000e+00
1.371440594059406067e+04	0.000000000000000000e+00
1.374684818481848197e+04	0.000000000000000000e+00
1.377929042904290691e+04	0.000000000000000000e+00
1.381173267326732821e+04	0.000000000000000000e+00
1.384417491749174951e+04	0.000000000000000000e+00
1.387661716171617445e+04	1.000000000000000000e+00
1.390905940594059575e+04	0.000000000000000000e+00
1.394150165016501705e+04	0.000000000000000000e+00
1.397394389438944017e+04	0.000000000000000000e+00
1.400638613861386330e+04	0.000000000000000000e+00
1.403882838283828460e+04	0.000000000000000000e+00
1.407127062706270772e+04	0.000000000000000000e+00
1.410371287128713084e+04	0.000000000000000000e+00
1.413615511551155214e+04	0.000000000000000000e+00
1.416859735973597526e+04	0.000000000000000000e+00
1.420103960396039838e+04	0.000000000000000000e+00
1.423348184818481968e+04	0.000000000000000000e+00
1.426592409240924098e+04	0.000000000000000000e+00
1.429836633663366592e+04	0.000000000000000000e+00
1.433080858085808723e+04	0.000000000000000000e+00
1.436325082508250853e+04	1.000000000000000000e+00
1.439569306930693347e+04	0.000000000000000000e+00
1.442813531353135477e+04	0.000000000000000000e+00
1.446057755775577607e+04	0.000000000000000000e+00
1.449301980198019919e+04	0.000000000000000000e+00
1.452546204620462231e+04	0.000000000000000000e+00
1.455790429042904361e+04	0.000000000000000000e+00
1.459034653465346673e+04	0.000000000000000000e+00
1.462278877887788985e+04	0.000000000000000000e+00
1.465523102310231116e+04	0.000000000000000000e+00
1.468767326732673428e+04	0.000000000000000000e+00
1.472011551155115740e+04	0.000000000000000000e+00
1.475255775577557870e+04	1.000000000000000000e+00
1.478500000000000182e+04	0.000000000000000000e+00
1.481744224422442494e+04	0.000000000000000000e+00
1.484988448844884624e+04	0.000000000000000000e+00
1.488232673267326754e+04	0.000000000000000000e+00
1.491476897689769248e+04	0.000000000000000000e+00
1.494721122112211378e+04	0.000000000000000000e+00
1.497965346534653509e+04	0.000000000000000000e+00
1.501209570957096003e+04	1.000000000000000000e+00
1.504453795379538133e+04	0.000000000000000000e+00
1.507698019801980263e+04	0.000000000000000000e+00
1.510942244224422575e+04	0.000000000000000000e+00
1.514186468646864887e+04	0.000000000000000000e+00
1.517430693069307017e+04	0.000000000000000000e+00
1.520674917491749329e+04	0.000000000000000000e+00
1.523919141914191641e+04	0.000000000000000000e+00
1.527163366336633771e+04	0.000000000000000000e+00
1.530407590759076083e+04	0.000000000000000000e+00
1.533651815181518396e+04	0.000000000000000000e+00
1.536896039603960526e+04	0.000000000000000000e+00
1.540140264026402656e+04	0.000000000000000000e+00
1.543384488448845150e+04	0.000000000000000000e+00
1.546628712871287280e+04	0.000000000000000000e+00
1.549872937293729410e+04	0.000000000000000000e+00
1.553117161716171904e+04	0.000000000000000000e+00
1.556361386138614034e+04	0.000000000000000000e+00
1.559605610561056164e+04	0.000000000000000000e+00
1.562849834983498658e+04	0.000000000000000000e+00
1.566094059405940789e+04	0.000000000000000000e+00
1.569338283828382919e+04	0.000000000000000000e+00
1.572582508250825231e+04	1.000000000000000000e+00
1.575826732673267543e+04	0.000000000000000000e+00
1.579070957095709673e+04	1.000000000000000000e+00
1.582315181518151985e+04	0.000000000000000000e+00
1.585559405940594297e+04	0.000000000000000000e+00
1.588803630363036427e+04	0.000000000000000000e+00
1.592047854785478739e+04	0.000000000000000000e+00
1.595292079207921051e+04	0.000000000000000000e+00
1.598536303630363182e+04	0.000000000000000000e+00
1.601780528052805312e+04	0.000000000000000000e+00
1.605024752475247806e+04	1.000000000000000000e+00
1.608268976897689936e+04	0.000000000000000000e+00
1.611513201320132066e+04	0.000000000000000000e+00
1.614757425742574560e+04	0.000000000000000000e+00
1.618001650165016690e+04	0.000000000000000000e+00
1.621245874587458820e+04	0.000000000000000000e+00
1.624490099009901132e+04	0.000000000000000000e+00
1.627734323432343444e+04	0.000000000000000000e+00
1.630978547854785575e+04	0.000000000000000000e+00
1.634222772277227887e+04	1.000000000000000000e+00
1.637466996699670017e+04	0.000000000000000000e+00
1.640711221122112329e+04	0.000000000000000000e+00
1.643955445544554823e+04	0.000000000000000000e+00
1.647199669966996589e+04	0.000000000000000000e+00
1.650443894389439083e+04	0.000000000000000000e+00
1.653688118811881577e+04	0.000000000000000000e+00
1.656932343234323343e+04	0.000000000000000000e+00
